Namespace(attention=True, batch_size=64, checkpoint_dir='s3dHowTo_bert_attention', data_split=0.8, epochs=40, finetune=False, howto=True, local_rank=0, lr=0.001, num_workers=4, preprocess=False, pretrain_path='/nobackup/users/brian27/ECCV22/mil_nce/S3D_HowTo100M/s3d_howto100m.pth', resume=False, run_id=1, sample_rate=3, split_type='train', text_feature_extractor='bert', visual_feature_extractor='s3d', weight_decay=1e-05)
Epoch: 1 | Train Acc: 0.5848484635353088 | Val Acc: 0.6378026008605957 | Train F1: 0.0 | Val F1: 0.7238094806671143
Epoch: 2 | Train Acc: 0.6390442848205566 | Val Acc: 0.6634078025817871 | Train F1: 0.0 | Val F1: 0.0
Epoch: 3 | Train Acc: 0.6539627313613892 | Val Acc: 0.6550279259681702 | Train F1: 0.0 | Val F1: 0.0
Epoch: 4 | Train Acc: 0.6491841673851013 | Val Acc: 0.673184335231781 | Train F1: 0.0 | Val F1: 0.0
Epoch: 5 | Train Acc: 0.6656177043914795 | Val Acc: 0.7025139927864075 | Train F1: 0.0 | Val F1: 0.0
Epoch: 6 | Train Acc: 0.6904429197311401 | Val Acc: 0.697858452796936 | Train F1: 0.0 | Val F1: 0.0
Epoch: 7 | Train Acc: 0.710606038570404 | Val Acc: 0.7439478635787964 | Train F1: 0.0 | Val F1: 0.0
Epoch: 8 | Train Acc: 0.7256410121917725 | Val Acc: 0.7537243962287903 | Train F1: 0.0 | Val F1: 0.0
Epoch: 9 | Train Acc: 0.7578088641166687 | Val Acc: 0.748603343963623 | Train F1: 0.0 | Val F1: 0.0
Epoch: 10 | Train Acc: 0.7721444964408875 | Val Acc: 0.7951582670211792 | Train F1: 0.0 | Val F1: 0.0
Epoch: 11 | Train Acc: 0.7878788113594055 | Val Acc: 0.7984171509742737 | Train F1: 0.0 | Val F1: 0.0
Epoch: 12 | Train Acc: 0.7944055795669556 | Val Acc: 0.8165735602378845 | Train F1: 0.0 | Val F1: 0.0
Epoch: 13 | Train Acc: 0.8006992936134338 | Val Acc: 0.832402229309082 | Train F1: 0.0 | Val F1: 0.0
Epoch: 14 | Train Acc: 0.8109557032585144 | Val Acc: 0.816107988357544 | Train F1: 0.0 | Val F1: 0.0
Epoch: 15 | Train Acc: 0.8162004947662354 | Val Acc: 0.8351955413818359 | Train F1: 0.0 | Val F1: 0.0
Epoch: 16 | Train Acc: 0.8148018717765808 | Val Acc: 0.8286778330802917 | Train F1: 0.0 | Val F1: 0.0
Epoch: 17 | Train Acc: 0.8279720544815063 | Val Acc: 0.8314711451530457 | Train F1: 0.0 | Val F1: 0.0
Epoch: 18 | Train Acc: 0.8216783404350281 | Val Acc: 0.8389199376106262 | Train F1: 0.0 | Val F1: 0.0
Epoch: 19 | Train Acc: 0.8245920538902283 | Val Acc: 0.8375232815742493 | Train F1: 0.0 | Val F1: 0.0
Namespace(attention=True, batch_size=64, checkpoint_dir='s3dHowTo_bert_attention', data_split=0.8, epochs=40, finetune=False, howto=True, local_rank=0, lr=0.001, num_workers=4, preprocess=False, pretrain_path='/nobackup/users/brian27/ECCV22/mil_nce/S3D_HowTo100M/s3d_howto100m.pth', resume=False, run_id=1, sample_rate=3, split_type='train', text_feature_extractor='bert', visual_feature_extractor='s3d', weight_decay=1e-05)
Epoch: 1 | Train Acc: 0.5881118774414062 | Val Acc: 0.6066107749938965 | Train F1: 0.11678831279277802 | Val F1: 0.7078652381896973
Epoch: 2 | Train Acc: 0.6356643438339233 | Val Acc: 0.6578212380409241 | Train F1: 0.0 | Val F1: 0.0
Epoch: 3 | Train Acc: 0.6486014127731323 | Val Acc: 0.6540968418121338 | Train F1: 0.0 | Val F1: 0.0
Epoch: 4 | Train Acc: 0.6724941730499268 | Val Acc: 0.6913408041000366 | Train F1: 0.0 | Val F1: 0.0
Epoch: 5 | Train Acc: 0.6839160919189453 | Val Acc: 0.69366854429245 | Train F1: 0.0 | Val F1: 0.0
Epoch: 6 | Train Acc: 0.701748251914978 | Val Acc: 0.730912446975708 | Train F1: 0.0 | Val F1: 0.0
Epoch: 7 | Train Acc: 0.7419580221176147 | Val Acc: 0.7439478635787964 | Train F1: 0.0 | Val F1: 0.0
Epoch: 8 | Train Acc: 0.749417245388031 | Val Acc: 0.774674117565155 | Train F1: 0.0 | Val F1: 0.0
Epoch: 9 | Train Acc: 0.7656177282333374 | Val Acc: 0.774674117565155 | Train F1: 0.0 | Val F1: 0.0
Epoch: 10 | Train Acc: 0.7890442609786987 | Val Acc: 0.783053994178772 | Train F1: 0.0 | Val F1: 0.0
Epoch: 11 | Train Acc: 0.8039627075195312 | Val Acc: 0.8189013004302979 | Train F1: 0.0 | Val F1: 0.0
Epoch: 12 | Train Acc: 0.8072261214256287 | Val Acc: 0.8258845210075378 | Train F1: 0.0 | Val F1: 0.0
Epoch: 13 | Train Acc: 0.8113053441047668 | Val Acc: 0.8100558519363403 | Train F1: 0.0 | Val F1: 0.0
Epoch: 14 | Train Acc: 0.8064102530479431 | Val Acc: 0.8226256966590881 | Train F1: 0.0 | Val F1: 0.0
Epoch: 15 | Train Acc: 0.8128204941749573 | Val Acc: 0.8263500928878784 | Train F1: 0.0 | Val F1: 0.0
Namespace(attention=True, batch_size=64, checkpoint_dir='s3dHowTo_bert_attention', data_split=0.8, epochs=60, finetune=False, howto=True, local_rank=0, lr=0.001, num_workers=4, preprocess=False, pretrain_path='/nobackup/users/brian27/ECCV22/mil_nce/S3D_HowTo100M/s3d_howto100m.pth', resume=False, run_id=1, sample_rate=3, split_type='train', text_feature_extractor='bert', visual_feature_extractor='s3d', weight_decay=1e-05)
Epoch: 1 | Train Acc: 0.5954545736312866 | Val Acc: 0.6461824774742126 | Train F1: 0.07194244861602783 | Val F1: 0.6169491410255432
Epoch: 2 | Train Acc: 0.6431235671043396 | Val Acc: 0.6550279259681702 | Train F1: 0.0 | Val F1: 0.0
Epoch: 3 | Train Acc: 0.6766899824142456 | Val Acc: 0.7104282975196838 | Train F1: 0.0 | Val F1: 0.0
Epoch: 4 | Train Acc: 0.6920745968818665 | Val Acc: 0.6643389463424683 | Train F1: 0.0 | Val F1: 0.0
Epoch: 5 | Train Acc: 0.6974359154701233 | Val Acc: 0.7136871218681335 | Train F1: 0.0 | Val F1: 0.0
Epoch: 6 | Train Acc: 0.7184149026870728 | Val Acc: 0.7043761610984802 | Train F1: 0.0 | Val F1: 0.0
Epoch: 7 | Train Acc: 0.724125862121582 | Val Acc: 0.7611731886863708 | Train F1: 0.0 | Val F1: 0.0
Epoch: 8 | Train Acc: 0.7460373044013977 | Val Acc: 0.7793295979499817 | Train F1: 0.0 | Val F1: 0.0
Epoch: 9 | Train Acc: 0.7568764686584473 | Val Acc: 0.8044692873954773 | Train F1: 0.0 | Val F1: 0.0
Epoch: 10 | Train Acc: 0.783566415309906 | Val Acc: 0.7937616109848022 | Train F1: 0.0 | Val F1: 0.0
Epoch: 11 | Train Acc: 0.7961538434028625 | Val Acc: 0.8272811770439148 | Train F1: 0.0 | Val F1: 0.0
Epoch: 12 | Train Acc: 0.8020979166030884 | Val Acc: 0.8151769042015076 | Train F1: 0.0 | Val F1: 0.0
Epoch: 13 | Train Acc: 0.8019813299179077 | Val Acc: 0.8109869360923767 | Train F1: 0.0 | Val F1: 0.0
Epoch: 14 | Train Acc: 0.8151515126228333 | Val Acc: 0.8379888534545898 | Train F1: 0.0 | Val F1: 0.0
Epoch: 15 | Train Acc: 0.8216783404350281 | Val Acc: 0.8086591958999634 | Train F1: 0.0 | Val F1: 0.0
Epoch: 16 | Train Acc: 0.8152680397033691 | Val Acc: 0.8235567808151245 | Train F1: 0.0 | Val F1: 0.0
Epoch: 17 | Train Acc: 0.8222610950469971 | Val Acc: 0.8310055732727051 | Train F1: 0.0 | Val F1: 0.0
Epoch: 18 | Train Acc: 0.8294872045516968 | Val Acc: 0.840782105922699 | Train F1: 0.0 | Val F1: 0.0
Namespace(attention=True, batch_size=64, checkpoint_dir='s3dHowTo_bert_attention', data_split=0.8, epochs=60, finetune=False, howto=True, local_rank=0, lr=0.001, num_workers=4, preprocess=False, pretrain_path='/nobackup/users/brian27/ECCV22/mil_nce/S3D_HowTo100M/s3d_howto100m.pth', resume=True, run_id=1, sample_rate=3, split_type='train', text_feature_extractor='bert', visual_feature_extractor='s3d', weight_decay=1e-05)
Epoch: 19 | Train Acc: 0.8311188817024231 | Val Acc: 0.8244879245758057 | Train F1: 0.7772925496101379 | Val F1: 0.8614231944084167
Epoch: 20 | Train Acc: 0.8279720544815063 | Val Acc: 0.8235567808151245 | Train F1: 0.0 | Val F1: 0.0
